naics_code_2022,naics_title_2022,cbp_mapping_type,cbp_source_naics_2017_codes,cbp_establishments_2022,cbp_employment_2022,cbp_annual_payroll_usd_2022,cbp_average_annual_pay_usd_2022
325220,Artificial and Synthetic Fibers and Filaments Manufacturing,direct,325220,122,14565,830263000,57003.98
325311,Nitrogenous Fertilizer Manufacturing,direct,325311,205,6904,901432000,130566.63
325312,Phosphatic Fertilizer Manufacturing,direct,325312,78,5952,604351000,101537.47
325320,Pesticide and Other Agricultural Chemical Manufacturing,direct,325320,246,11988,1079764000,90070.4
325411,Medicinal and Botanical Manufacturing,direct,325411,754,35925,2788829000,77629.2
325412,Pharmaceutical Preparation Manufacturing,direct,325412,1444,165088,17608704000,106662.53
325413,In‑Vitro Diagnostic Substance Manufacturing,direct,325413,261,40884,4484182000,109680.61
325414,Biological Product (except Diagnostic) Manufacturing,direct,325414,423,72345,8562502000,118356.51
325510,Paint and Coating Manufacturing,direct,325510,1142,42280,3020072000,71430.27
325520,Adhesive Manufacturing,direct,325520,539,30167,2312065000,76642.19
325611,Soap and Other Detergent Manufacturing,direct,325611,866,33859,2169153000,64064.3
325612,Polish and Other Sanitation Good Manufacturing,direct,325612,452,17318,1265268000,73060.86
325613,Surface Active Agent Manufacturing,direct,325613,116,6283,644187000,102528.57
325620,Toilet Preparation Manufacturing,direct,325620,1124,53641,3414113000,63647.45
325910,Printing Ink Manufacturing,direct,325910,301,9139,653787000,71538.13
325920,Explosives Manufacturing,direct,325920,90,7776,616277000,79253.73
325991,Custom Compounding of Purchased Resins,direct,325991,422,21372,1480267000,69261.98
325992,"Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing",direct,325992,147,6641,437590000,65892.18
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,direct,325998,1303,42853,3432460000,80098.48
326111,Plastic Bag and Pouch Manufacturing,direct,326111,352,37026,2339325000,63180.6
326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,direct,326112,418,34071,2279958000,66917.85
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,direct,326113,437,34252,2401659000,70117.34
326121,Unlaminated Plastics Profile Shape Manufacturing,direct,326121,342,18806,1200075000,63813.41
