naics_code_2017,naics_title_2017,establishments_2022,employment_2022,annual_payroll_usd_2022,average_annual_pay_usd_2022
423690,Other electronic parts and equipment merchant wholesalers,10346,245753,39987219000,162713.0452120625
423710,Hardware merchant wholesalers,5904,95631,6929090000,72456.52560362226
423720,Plumbing and heating equipment and supplies (hydronics) merchant wholesalers,6747,87630,7473876000,85289.01061280383
423730,Warm air heating and air-conditioning equipment and supplies merchant wholesalers,6427,81052,7529787000,92900.69338202635
423740,Refrigeration equipment and supplies merchant wholesalers,1198,12197,932607000,76461.99885217677
423810,Construction and mining (except oil well) machinery and equipment merchant wholesalers,4853,101144,9182405000,90785.46428853911
423820,Farm and garden machinery and equipment merchant wholesalers,7451,108592,7785884000,71698.50449388537
423830,Industrial machinery and equipment merchant wholesalers,26655,367665,32356597000,88005.64916432078
423840,Industrial supplies merchant wholesalers,9063,106518,8991440000,84412.39978219643
423850,Service establishment equipment and supplies merchant wholesalers,4484,49154,3094248000,62950.07527362982
423860,Transportation equipment and supplies (except motor vehicle) merchant wholesalers,2380,33655,2980862000,88571.14841776853
423910,Sporting and recreational goods and supplies merchant wholesalers,5404,71730,5466800000,76213.57869789489
423920,Toy and hobby goods and supplies merchant wholesalers,2015,35597,3663256000,102909.12155518723
423930,Recyclable material merchant wholesalers,7761,102804,6329795000,61571.48554530952
423940,"Jewelry, watch, precious stone, and precious metal merchant wholesalers",6964,38382,2829815000,73727.65879839507
423990,Other miscellaneous durable goods merchant wholesalers,9928,88789,6164515000,69428.8143801597
424110,Printing and writing paper merchant wholesalers,672,8018,711705000,88763.40733349962
424120,Stationery and office supplies merchant wholesalers,3319,56672,3193006000,56341.86194240542
424130,Industrial and personal service paper merchant wholesalers,3858,66283,5794750000,87424.3772913115
424210,Drugs and druggists' sundries merchant wholesalers,9959,311580,45647533000,146503.41164387958
424310,"Piece goods, notions, and other dry goods merchant wholesalers",2923,23557,1474914000,62610.43426582332
424320,Men's and boys' clothing and furnishings merchant wholesalers,3070,51475,3561547000,69189.83972802332
424330,"Women's, children's, and infants' clothing and accessories merchant wholesalers",6482,69809,5233181000,74964.27394748529
424340,Footwear merchant wholesalers,1188,27738,2706091000,97558.98046001875
424410,General line grocery merchant wholesalers,3290,160816,10895366000,67750.50989951249
424420,Packaged frozen food merchant wholesalers,3116,88597,6051459000,68303.20439744009
424430,Dairy product (except dried or canned) merchant wholesalers,1800,37781,2705728000,71616.10333236282
424440,Poultry and poultry product merchant wholesalers,436,10212,577936000,56593.811202506855
424450,Confectionery merchant wholesalers,2312,43619,2941273000,67431.00483734152
424460,Fish and seafood merchant wholesalers,1964,22994,1350052000,58713.22953814038
424470,Meat and meat product merchant wholesalers,2198,47823,3422285000,71561.48715053426
424480,Fresh fruit and vegetable merchant wholesalers,4923,106172,6357659000,59880.75010360547
424490,Other grocery and related products merchant wholesalers,14813,328949,21262974000,64639.120349963065
424510,Grain and field bean merchant wholesalers,4481,47065,3396626000,72168.83034101775
424520,Livestock merchant wholesalers,633,5108,175377000,34333.79013312451
424590,Other farm product raw material merchant wholesalers,1098,13378,886167000,66240.6189265959
424610,Plastics materials and basic forms and shapes merchant wholesalers,2581,32998,2957496000,89626.52281956482
424690,Other chemical and allied products merchant wholesalers,9139,129957,12251593000,94274.20608355071
424710,Petroleum bulk stations and terminals,3784,68089,6042232000,88740.2076693739
424720,Petroleum and petroleum products merchant wholesalers (except bulk stations and terminals),2541,31803,3710644000,116675.9110775713
424810,Beer and ale merchant wholesalers,1899,115134,7239622000,62879.96595271597
424820,Wine and distilled alcoholic beverage merchant wholesalers,2915,95603,8618879000,90152.80901226948
424910,Farm supplies merchant wholesalers,9043,105996,8509140000,80277.93501641571
424920,"Book, periodical, and newspaper merchant wholesalers",1175,19497,1045801000,53639.07267784787
424930,"Flower, nursery stock, and florists' supplies merchant wholesalers",3886,51988,2476574000,47637.41632684466
424940,Tobacco and tobacco product merchant wholesalers,1656,58418,3656812000,62597.350131808686
424950,"Paint, varnish, and supplies merchant wholesalers",1927,20085,1491099000,74239.43241224794
424990,Other miscellaneous nondurable goods merchant wholesalers,10634,77207,4911307000,63612.19837579494
425110,Business to business electronic markets,387,5161,323052000,62594.84596008526
425120,Wholesale trade agents and brokers,35819,244886,17181261000,70160.24190847986
441110,New car dealers,21835,1110728,91268697000,82170.15957102009
441120,Used car dealers,25607,187929,9700939000,51620.23423739817
441210,Recreational vehicle dealers,2979,60384,4320883000,71556.75344462109
441222,Boat dealers,4320,37626,2455008000,65247.64790304576
441228,"Motorcycle, ATV, and all other motor vehicle dealers",6751,74202,4054772000,54645.04999865233
441310,Automotive parts and accessories stores,38760,388263,12501404000,32198.28827367017
441320,Tire dealers,20455,171295,8286060000,48373.040660848244
442110,Furniture stores,22286,197264,9905306000,50213.449995944524
442210,Floor covering stores,9880,72960,3950124000,54140.95394736842
442291,Window treatment stores,2170,8548,431595000,50490.75807206364
442299,All other home furnishings stores,11224,165671,3660079000,22092.454322120346
443141,Household appliance stores,5569,50035,2589995000,51763.66543419606
443142,Electronics stores,15773,169838,6741358000,39692.872030994244
444110,Home centers,6038,803805,23588743000,29346.35017199445
444120,Paint and wallpaper stores,7244,33526,1696952000,50615.99952275846
444130,Hardware stores,15019,147525,4915907000,33322.535163531604
444190,Other building material dealers,27037,282279,17534378000,62117.18902220853
444210,Outdoor power equipment stores,4394,31614,1507906000,47697.41253874866
444220,"Nursery, garden center, and farm supply stores",13444,147330,5183454000,35182.610466300146
445110,Supermarkets and other grocery (except convenience) stores,62647,2796910,78756843000,28158.518865462243
445120,Convenience stores,36426,173078,3888842000,22468.72508348837
445210,Meat markets,5552,48055,1344783000,27984.24721673083
445220,Fish and seafood markets,1983,12060,421664000,34963.84742951907
445230,Fruit and vegetable markets,3906,19704,630116000,31979.09053999188
445291,Baked goods stores,2807,21765,581691000,26725.982081323225
445292,Confectionery and nut stores,3399,19161,471939000,24630.18631595428
445299,All other specialty food stores,6146,43688,1025486000,23472.944515656473
445310,"Beer, wine, and liquor stores",36173,193967,5313082000,27391.68002804601
446110,Pharmacies and drug stores,42707,673084,28852808000,42866.578317119405
446120,"Cosmetics, beauty supplies, and perfume stores",17521,175927,4250374000,24159.873129195632
446130,Optical goods stores,11662,77748,3039968000,39100.27267582446
446191,Food (health) supplement stores,8633,36922,993717000,26913.953740317425
446199,All other health and personal care stores,10360,72476,3852143000,53150.601578453556
447110,Gasoline stations with convenience stores,96486,832419,21971970000,26395.324950535727
447190,Other gasoline stations,12757,155860,5028071000,32260.17579879379
448110,Men's clothing stores,6037,44922,1539885000,34279.08374515828
448120,Women's clothing stores,25887,203005,4803561000,23662.27925420556
448130,Children's and infants' clothing stores,3753,28856,593044000,20551.843637371778
448140,Family clothing stores,26886,690477,14693953000,21280.872498287416
448150,Clothing accessories stores,7712,55906,1778256000,31807.963367080458
448190,Other clothing stores,12226,115975,2958660000,25511.187755981893
448210,Shoe stores,18300,202404,4461328000,22041.69878065651
448310,Jewelry stores,19348,101280,5289637000,52227.85347551343
448320,Luggage and leather goods stores,786,7053,490308000,69517.65206295194
451110,Sporting goods stores,20635,251884,7899802000,31362.85750583602
451120,"Hobby, toy, and game stores",8471,107311,2555222000,23811.37068893217
451130,"Sewing, needlework, and piece goods stores",3616,34869,568777000,16311.82425650291
451140,Musical instrument and supplies stores,3320,28453,860479000,30242.1185815204
451211,Book stores,5683,48057,1068794000,22240.13151049795
451212,News dealers and newsstands,762,2874,74782000,26020.18093249826
452210,Department stores,2981,247907,6515011000,26280.060667911755
452311,Warehouse clubs and supercenters,8091,1953844,60798409000,31117.330247450667
452319,All other general merchandise stores,47634,494748,9798150000,19804.32462587014
453110,Florists,11999,57192,1417371000,24782.679395719682
453210,Office supplies and stationery stores,4254,46734,1280330000,27396.114178114436
453220,"Gift, novelty, and souvenir stores",19220,122677,3110566000,25355.73905459051
453310,Used merchandise stores,19186,209147,4959511000,23713.03915427905
453910,Pet and pet supplies stores,9986,120660,3679075000,30491.256423006795
453920,Art dealers,4772,17036,1253654000,73588.5184315567
453930,Manufactured (mobile) home dealers,1825,11168,1093654000,97927.47134670487
453991,Tobacco stores,18384,69622,1951509000,28030.062336617735
453998,All other miscellaneous store retailers (except tobacco stores),23195,141198,5719731000,40508.58369098712
454110,Electronic shopping and mail-order houses,55633,780598,46520424000,59595.879056825666
454210,Vending machine operators,3243,38830,1585763000,40838.60417203193
454310,Fuel dealers,7795,73930,4340864000,58715.86636007034
454390,Other direct selling establishments,24320,120175,5738841000,47754.033700852924
481111,Scheduled passenger air transportation,1787,432803,40063984000,92568.63746323386
481112,Scheduled freight air transportation,385,8195,784643000,95746.55277608297
481211,Nonscheduled chartered passenger air transportation,1670,37400,4634664000,123921.49732620321
481212,Nonscheduled chartered freight air transportation,215,9037,1037088000,114760.20803363949
481219,Other nonscheduled air transportation,588,6453,557456000,86387.106772044
483111,Deep sea freight transportation,324,6472,722931000,111701.32880098888
483112,Deep sea passenger transportation,86,12502,1315158000,105195.8086706127
483113,Coastal and great lakes freight transportation,495,19347,2122863000,109725.69390603194
483114,Coastal and great lakes passenger transportation,190,2858,223569000,78225.6822953114
483211,Inland water freight transportation,382,16231,1488427000,91702.7293450804
483212,Inland water passenger transportation,303,3225,198217000,61462.635658914725
484110,"General freight trucking, local",45436,317257,15469416000,48759.88867069915
484121,"General freight trucking, long-distance, truckload",63315,592167,35233622000,59499.46889982049
484122,"General freight trucking, long-distance, less than truckload",11197,314738,20736747000,65885.74306248371
484210,Used household and office goods moving,9803,105910,4706454000,44438.24001510716
484220,"Specialized freight (except used goods) trucking, local",32829,227981,14260653000,62551.936345572656
484230,"Specialized freight (except used goods) trucking, long-distance",11976,173625,11048936000,63636.780417566595
485111,Mixed mode transit systems,38,770,42092000,54664.93506493507
485112,Commuter rail systems,17,4049,412914000,101979.2541368239
485113,Bus and other motor vehicle transit systems,537,39076,2209557000,56545.11720749309
485119,Other urban transit systems,60,1447,99430000,68714.5818935729
485210,Interurban and rural bus transportation,549,13538,560394000,41394.14980056138
485310,Taxi service,3162,21565,1577173000,73135.77556225365
485320,Limousine service,4225,25832,1019862000,39480.56673892846
485410,School and employee bus transportation,4000,210606,6177329000,29331.210886679393
485510,Charter bus industry,1129,24447,1081218000,44227.0217204565
485991,Special needs transportation,3825,63864,2339268000,36628.89891018414
485999,All other transit and ground passenger transportation,2171,23010,851106000,36988.52672750978
486110,Pipeline transportation of crude oil,649,9703,1346557000,138777.38843656602
486210,Pipeline transportation of natural gas,2021,25854,3515711000,135983.25210799102
486910,Pipeline transportation of refined petroleum products,660,8723,1128473000,129367.53410523903
486990,All other pipeline transportation,62,262,35634000,136007.63358778626
487110,"Scenic and sightseeing transportation, land",709,8384,361309000,43095.06202290076
487210,"Scenic and sightseeing transportation, water",2243,12878,708593000,55023.52849821401
487990,"Scenic and sightseeing transportation, other",259,2813,172356000,61271.240668325634
488111,Air traffic control,221,1803,138419000,76771.49195784803
488119,Other airport operations,2189,115782,4618340000,39888.23824083191
488190,Other support activities for air transportation,4096,91750,6490989000,70746.47411444141
488210,Support activities for rail transportation,1761,45044,2981807000,66197.65118550751
488310,Port and harbor operations,346,13327,994178000,74598.78442260073
488320,Marine cargo handling,475,69158,6047200000,87440.35397206397
488330,Navigational services to shipping,1044,13673,1237667000,90519.05214656623
488390,Other support activities for water transportation,752,7284,568364000,78029.10488742449
488410,Motor vehicle towing,10554,69825,3452241000,49441.331901181526
488490,Other support activities for road transportation,3934,53998,2135756000,39552.501944516465
488510,Freight transportation arrangement,22383,323348,24269442000,75056.72526194688
488991,Packing and crating,1599,22988,1258981000,54766.87837132417
488999,All other support activities for transportation,691,4017,331943000,82634.55314911625
492110,Couriers and express delivery services,11667,1048131,40746551000,38875.43732605944
492210,Local messengers and local delivery,5366,149851,7003744000,46738.05313277856
493110,General warehousing and storage,15416,1168516,57121709000,48883.976770536305
493120,Refrigerated warehousing and storage,1222,57210,3094424000,54088.865582940045
493130,Farm product warehousing and storage,774,7884,448849000,56931.633688483
493190,Other warehousing and storage,2567,61510,4270495000,69427.6540399935
511110,Newspaper publishers,6096,111774,6556039000,58654.41873781022
511120,Periodical publishers,4175,66125,6674274000,100934.20037807184
511130,Book publishers,2440,68114,6309100000,92625.59826173767
511140,Directory and mailing list publishers,526,11678,1063094000,91033.90991608152
511191,Greeting card publishers,113,13233,427138000,32278.2437844782
511199,All other publishers,1321,6895,586654000,85083.97389412617
511210,Software publishers,17438,874707,172774174000,197522.3406237746
512110,Motion picture and video production,17683,139965,13657220000,97575.9654199264
512120,Motion picture and video distribution,480,2813,324084000,115209.38499822254
512131,Motion picture theaters (except drive-ins),4158,109126,1971399000,18065.346480215532
512132,Drive-in motion picture theaters,232,991,32744000,33041.37235116045
512191,Teleproduction and other postproduction services,3079,28863,2693801000,93330.59626511451
512199,Other motion picture and video industries,281,1003,107352000,107030.9072781655
512230,Music publishers,886,5509,603356000,109521.87329823924
512240,Sound recording studios,2117,6321,468761000,74159.3102357222
512250,Record production and distribution,880,11526,1784668000,154838.4521950373
512290,Other sound recording industries,575,2344,175737000,74973.12286689419
515111,Radio networks,600,8788,1069500000,121700.04551661357
515112,Radio stations,4204,61959,4403979000,71078.92315886312
515120,Television broadcasting,2206,147007,14476913000,98477.71194568966
515210,Cable and other subscription programming,736,53955,8092771000,149991.1222314892
517311,Wired telecommunications carriers,28758,603802,55667317000,92194.65487030517
517312,Wireless telecommunications carriers (except satellite),25798,260496,18964583000,72801.82037344144
517410,Satellite telecommunications,460,8690,1146834000,131971.6915995397
517911,Telecommunications resellers,3264,36203,2376393000,65640.77562632931
517919,All other telecommunications,1902,30966,3639392000,117528.64431957631
518210,"Data processing, hosting, and related services",17539,570188,83193910000,145906.1046532021
519110,News syndicates,355,5897,745713000,126456.33372901475
519120,Libraries and archives,2299,24365,972162000,39899.938436281554
519130,Internet publishing and broadcasting and web search portals,9180,349281,103452882000,296188.1178764376
519190,All other information services,1165,11428,1268582000,111006.4753237662
521110,Monetary authorities - central bank,67,21055,3006963000,142814.675848967
522110,Commercial banking,83288,1497167,154229863000,103014.46865980883
522120,Savings institutions,6886,99769,9273373000,92948.44089847548
522130,Credit unions,19605,328494,22992108000,69992.47474839723
522190,Other depository credit intermediation,37,2087,284898000,136510.7810253953
522210,Credit card issuing,698,66791,9017133000,135005.21028282255
522220,Sales financing,3637,95912,10979806000,114477.91725748603
522291,Consumer lending,13845,85685,7288231000,85058.42329462567
522292,Real estate credit,18589,352890,37410690000,106012.32678738417
522293,International trade financing,236,896,109626000,122350.44642857143
522294,Secondary market financing,153,17209,2829752000,164434.42384798653
522298,All other nondepository credit intermediation,9726,67177,6415976000,95508.52226208374
522310,Mortgage and nonmortgage loan brokers,10957,76003,6980233000,91841.54572845809
522320,"Financial transactions processing, reserve, and clearinghouse activities",5035,173894,23683069000,136192.55983530197
522390,Other activities related to credit intermediation,12116,77430,5965392000,77042.38667183262
523110,Investment banking and securities dealing,4035,92950,44162808000,475124.34642280795
523120,Securities brokerage,23043,256823,58867437000,229214.03846228725
523130,Commodity contracts dealing,814,9742,4251339000,436392.8351467871
523140,Commodity contracts brokerage,877,7624,1553002000,203699.10807974817
523210,Securities and commodity exchanges,53,6270,1565996000,249760.12759170655
523910,Miscellaneous intermediation,11596,58566,13740311000,234612.42017552847
523920,Portfolio management,43217,382966,114634386000,299333.06350955437
523930,Investment advice,24303,110887,18844688000,169944.97100652015
523991,"Trust, fiduciary, and custody activities",2805,38319,4655595000,121495.73318719173
523999,Miscellaneous financial investment activities,2033,29719,5853101000,196948.11400114404
524113,Direct life insurance carriers,6414,311072,42331549000,136082.80076638205
524114,Direct health and medical insurance carriers,6220,545227,52625544000,96520.42910567526
524126,Direct property and casualty insurance carriers,12721,594916,61201017000,102873.37540089693
524127,Direct title insurance carriers,3999,46518,5336006000,114708.41394728923
524128,"Other direct insurance (except life, health, and medical) carriers",586,32513,3031815000,93249.31565835205
524130,Reinsurance carriers,649,14071,2698062000,191746.2866889347
524210,Insurance agencies and brokerages,135100,807633,68034987000,84239.97904989023
524291,Claims adjusting,4554,39562,3438272000,86908.44750012638
524292,Third party administration of insurance and pension funds,7693,439927,32891524000,74765.86797355015
524298,All other insurance related activities,3035,35146,3245338000,92338.75832242645
525910,Open-end investment funds,334,1735,408710000,235567.72334293948
525990,Other financial vehicles,1590,7252,1298382000,179037.78268063982
531110,Lessors of residential buildings and dwellings,74908,345421,18390154000,53239.82618312147
531120,Lessors of nonresidential buildings (except miniwarehouses),34567,172451,13995051000,81153.7828136688
531130,Lessors of miniwarehouses and self-storage units,18286,47056,1922855000,40863.12053723224
